Payer,Recipent,Trans
au,au,0
au,ch,0
au,CI,0
au,cn,0
au,ge,0
au,hk,0
au,in,0
au,ja,0
au,ko,0
au,ma,0
au,me,0
au,si,0
au,th,0
au,tw,0
au,uk,0
au,us,673027
ch,au,0
ch,ch,1927024
ch,CI,0
ch,cn,0
ch,ge,0
ch,hk,0
ch,in,0
ch,ja,0
ch,ko,0
ch,ma,0
ch,me,0
ch,si,0
ch,th,0
ch,tw,0
ch,uk,0
ch,us,0
CI,au,0
CI,ch,0
CI,CI,0
CI,cn,0
CI,ge,0
CI,hk,0
CI,in,0
CI,ja,0
CI,ko,0
CI,ma,0
CI,me,0
CI,si,0
CI,th,0
CI,tw,0
CI,uk,0
CI,us,68724
cn,au,0
cn,ch,0
cn,CI,0
cn,cn,0
cn,ge,0
cn,hk,0
cn,in,0
cn,ja,0
cn,ko,0
cn,ma,0
cn,me,0
cn,si,0
cn,th,0
cn,tw,0
cn,uk,0
cn,us,1487229
ge,au,0
ge,ch,0
ge,CI,0
ge,cn,0
ge,ge,0
ge,hk,0
ge,in,0
ge,ja,0
ge,ko,0
ge,ma,0
ge,me,0
ge,si,0
ge,th,0
ge,tw,0
ge,uk,0
ge,us,587298
hk,au,0
hk,ch,0
hk,CI,0
hk,cn,0
hk,ge,0
hk,hk,0
hk,in,0
hk,ja,0
hk,ko,0
hk,ma,0
hk,me,0
hk,si,439750
hk,th,0
hk,tw,0
hk,uk,0
hk,us,0
in,au,0
in,ch,0
in,CI,0
in,cn,0
in,ge,0
in,hk,0
in,in,0
in,ja,0
in,ko,0
in,ma,0
in,me,0
in,si,0
in,th,0
in,tw,0
in,uk,0
in,us,0
ja,au,0
ja,ch,0
ja,CI,0
ja,cn,0
ja,ge,0
ja,hk,0
ja,in,0
ja,ja,0
ja,ko,0
ja,ma,0
ja,me,0
ja,si,684223
ja,th,0
ja,tw,0
ja,uk,0
ja,us,0
ko,au,0
ko,ch,0
ko,CI,0
ko,cn,0
ko,ge,0
ko,hk,0
ko,in,0
ko,ja,0
ko,ko,0
ko,ma,0
ko,me,0
ko,si,86665
ko,th,0
ko,tw,0
ko,uk,0
ko,us,0
ma,au,0
ma,ch,0
ma,CI,0
ma,cn,0
ma,ge,0
ma,hk,0
ma,in,0
ma,ja,0
ma,ko,0
ma,ma,0
ma,me,0
ma,si,154367
ma,th,0
ma,tw,0
ma,uk,0
ma,us,0
me,au,0
me,ch,0
me,CI,0
me,cn,0
me,ge,0
me,hk,0
me,in,0
me,ja,0
me,ko,0
me,ma,0
me,me,0
me,si,0
me,th,0
me,tw,0
me,uk,0
me,us,118809
si,au,0
si,ch,0
si,CI,0
si,cn,0
si,ge,0
si,hk,0
si,in,350000
si,ja,0
si,ko,0
si,ma,0
si,me,0
si,si,1912236
si,th,0
si,tw,0
si,uk,0
si,us,0
th,au,0
th,ch,0
th,CI,0
th,cn,0
th,ge,0
th,hk,0
th,in,0
th,ja,0
th,ko,0
th,ma,0
th,me,0
th,si,218923
th,th,0
th,tw,0
th,uk,0
th,us,0
tw,au,0
tw,ch,0
tw,CI,0
tw,cn,0
tw,ge,0
tw,hk,0
tw,in,0
tw,ja,0
tw,ko,0
tw,ma,0
tw,me,0
tw,si,167457
tw,th,0
tw,tw,0
tw,uk,0
tw,us,0
uk,au,0
uk,ch,0
uk,CI,0
uk,cn,0
uk,ge,0
uk,hk,0
uk,in,0
uk,ja,0
uk,ko,0
uk,ma,0
uk,me,0
uk,si,0
uk,th,0
uk,tw,0
uk,uk,0
uk,us,3770113
us,au,0
us,ch,0
us,CI,0
us,cn,0
us,ge,0
us,hk,0
us,in,0
us,ja,0
us,ko,0
us,ma,0
us,me,0
us,si,0
us,th,0
us,tw,0
us,uk,0
us,us,283639558
